
2025/02/14 (01:30:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (04:37:40) | ===> btop++ v.1.4.0
2025/02/14 (04:37:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (04:37:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (04:54:52) | ===> btop++ v.1.4.0
2025/02/14 (04:54:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (04:54:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (05:43:26) | ===> btop++ v.1.4.0
2025/02/14 (05:43:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (05:43:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (05:43:36) | ===> btop++ v.1.4.0
2025/02/14 (05:43:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (05:43:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (05:50:39) | ===> btop++ v.1.4.0
2025/02/14 (05:50:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (05:50:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (14:21:28) | ===> btop++ v.1.4.0
2025/02/14 (14:21:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (14:21:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (16:00:41) | ===> btop++ v.1.4.0
2025/02/14 (16:00:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (16:00:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (22:54:00) | ===> btop++ v.1.4.0
2025/02/14 (22:54:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (22:54:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (14:08:20) | ===> btop++ v.1.4.0
2025/02/15 (14:08:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (14:08:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (21:27:58) | ===> btop++ v.1.4.0
2025/02/16 (21:27:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (21:27:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (21:28:09) | ===> btop++ v.1.4.0
2025/02/16 (21:28:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (21:28:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (17:17:38) | ===> btop++ v.1.4.0
2025/02/18 (17:17:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (17:17:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (17:30:02) | ===> btop++ v.1.4.0
2025/02/18 (17:30:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (17:30:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (17:30:36) | ===> btop++ v.1.4.0
2025/02/18 (17:30:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (17:30:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (17:31:50) | ===> btop++ v.1.4.0
2025/02/18 (17:31:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (17:31:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (17:43:37) | ===> btop++ v.1.4.0
2025/02/18 (17:43:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (17:43:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (20:05:36) | ===> btop++ v.1.4.0
2025/02/18 (20:05:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (20:05:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (20:06:13) | ===> btop++ v.1.4.0
2025/02/18 (20:06:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (20:06:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/19 (01:05:28) | ===> btop++ v.1.4.0
